LABEL,POSITION_T,Mean ch1
Label,T,Mean ch1
,(sec),(counts)
ID9041,235.0,252.76190476190476
ID2779,236.0,426.8095238095238
ID3784,236.0,582.8095238095239
ID5162,236.0,277.57142857142856
ID6294,236.0,571.7142857142857
ID7403,236.0,367.4761904761905
ID9044,236.0,310.6190476190476
ID2782,237.0,447.85714285714283
ID3787,237.0,595.4285714285714
ID5166,237.0,287.1904761904762
ID6296,237.0,559.0
ID7407,237.0,350.7142857142857
ID9049,237.0,257.42857142857144
ID2785,238.0,453.5238095238095
ID3789,238.0,579.9047619047619
ID5170,238.0,281.6190476190476
ID6298,238.0,575.7142857142857
ID7410,238.0,363.95238095238096
ID9052,238.0,229.0952380952381
ID2787,239.0,423.4761904761905
ID3792,239.0,585.0952380952381
ID5174,239.0,291.6190476190476
ID6300,239.0,560.0
ID7414,239.0,367.4761904761905
ID9056,239.0,246.85714285714286
ID2789,240.0,447.3333333333333
ID3795,240.0,585.9047619047619
ID5178,240.0,281.9047619047619
ID6302,240.0,566.8571428571429
ID7418,240.0,352.9047619047619
ID9059,240.0,278.9047619047619
ID2792,241.0,441.14285714285717
ID3797,241.0,596.6666666666666
ID5182,241.0,282.76190476190476
ID6304,241.0,565.5714285714286
ID7422,241.0,352.7142857142857
ID9063,241.0,259.0952380952381
ID2794,242.0,437.42857142857144
ID3799,242.0,583.0
ID5186,242.0,283.57142857142856
ID6306,242.0,559.2380952380952
ID7426,242.0,374.0
ID9066,242.0,310.2857142857143
ID2796,243.0,426.9047619047619
ID3802,243.0,586.6190476190476
ID5190,243.0,299.04761904761904
ID6308,243.0,562.4285714285714
ID7430,243.0,359.23809523809524
ID9071,243.0,253.71428571428572
ID2799,244.0,462.0952380952381
ID3804,244.0,589.6190476190476
ID5194,244.0,289.3333333333333
ID6310,244.0,563.2857142857143
ID7434,244.0,361.23809523809524
ID9074,244.0,246.76190476190476
ID2802,245.0,457.8095238095238
ID3807,245.0,575.5714285714286
ID5198,245.0,289.6666666666667
ID6312,245.0,547.5238095238095
ID7438,245.0,365.1904761904762
ID9077,245.0,243.1904761904762
ID2805,246.0,453.0952380952381
ID3809,246.0,582.9047619047619
ID5202,246.0,278.3809523809524
ID6314,246.0,561.6666666666666
ID7442,246.0,350.9047619047619
ID9080,246.0,263.6190476190476
ID2808,247.0,458.76190476190476
ID3811,247.0,576.7619047619048
ID5206,247.0,275.9047619047619
ID6316,247.0,548.7142857142857
ID7446,247.0,362.76190476190476
ID9084,247.0,255.52380952380952
ID2810,248.0,465.2857142857143
ID3814,248.0,590.047619047619
ID5210,248.0,278.3333333333333
ID6318,248.0,550.6666666666666
ID7450,248.0,360.23809523809524
ID9088,248.0,271.95238095238096
ID2812,249.0,467.04761904761904
ID3817,249.0,586.8571428571429
ID5214,249.0,296.0952380952381
ID6320,249.0,576.1904761904761
ID7454,249.0,365.2857142857143
ID9091,249.0,259.9047619047619
ID2814,250.0,460.2857142857143
ID3820,250.0,573.952380952381
ID5218,250.0,281.04761904761904
ID6322,250.0,578.0
ID7458,250.0,366.9047619047619
ID9096,250.0,312.6190476190476
ID2816,251.0,442.6190476190476
ID3822,251.0,584.6666666666666
ID5222,251.0,279.0
ID6324,251.0,546.9047619047619
ID7462,251.0,355.3333333333333
ID9102,251.0,286.85714285714283
ID2818,252.0,460.04761904761904
ID3825,252.0,562.5714285714286
ID5226,252.0,279.0952380952381
ID6326,252.0,540.8571428571429
ID7466,252.0,364.04761904761904
ID9107,252.0,265.2857142857143
ID2821,253.0,440.7142857142857
ID3828,253.0,581.2380952380952
ID5230,253.0,277.76190476190476
ID6328,253.0,553.0952380952381
ID7470,253.0,354.42857142857144
ID9110,253.0,263.23809523809524
ID2823,254.0,460.1904761904762
ID3831,254.0,574.3333333333334
ID5234,254.0,275.6190476190476
ID6330,254.0,549.2380952380952
ID7474,254.0,376.0952380952381
ID9113,254.0,240.95238095238096
ID2826,255.0,432.0952380952381
ID3834,255.0,562.0
ID5238,255.0,280.14285714285717
ID6332,255.0,539.6666666666666
ID7477,255.0,356.57142857142856
ID9116,255.0,240.42857142857142
ID2829,256.0,436.3333333333333
ID3837,256.0,567.047619047619
ID5242,256.0,278.3333333333333
ID6334,256.0,527.4761904761905
ID7481,256.0,355.0952380952381
ID9119,256.0,348.4761904761905
ID2831,257.0,443.4761904761905
ID3839,257.0,587.5238095238095
ID5246,257.0,285.1904761904762
ID6336,257.0,547.8095238095239
ID7485,257.0,360.8095238095238
ID9123,257.0,402.0
ID2833,258.0,421.8095238095238
ID3842,258.0,566.6666666666666
ID5250,258.0,274.4761904761905
ID6338,258.0,546.1428571428571
ID7489,258.0,370.8095238095238
ID9127,258.0,315.1904761904762
ID2835,259.0,446.14285714285717
ID3845,259.0,571.2380952380952
ID5254,259.0,275.5238095238095
ID6340,259.0,557.1428571428571
ID7493,259.0,365.6666666666667
ID9133,259.0,284.6190476190476
ID2838,260.0,443.3809523809524
ID3847,260.0,557.0
ID5258,260.0,274.57142857142856
